StockCode,Description,Revenue,UnitsSold,CumulativeRevenue,CumulativeRevenuePercent,Category
M,Manual,339599.81,9630,339599.81,1.6584747752070708,A
22423,REGENCY CAKESTAND 3 TIER,330590.32,26478,670190.13,3.2729506686053433,A
DOT,DOTCOM POSTAGE,309854.11,1415,980044.24,4.786158892806755,A
85123A,WHITE HANGING HEART T-LIGHT HOLDER,257546.2,94142,1237590.44,6.043915415551674,A
23843,"PAPER CRAFT , LITTLE BIRDIE",168469.6,80995,1406060.04,6.866656105510321,A
47566,PARTY BUNTING,148318.28,28200,1554378.32,7.590985503934011,A
85099B,JUMBO BAG RED RETROSPOT,145961.83,77280,1700340.1500000001,8.303806907450294,A
84879,ASSORTED COLOUR BIRD ORNAMENT,129324.49,80082,1829664.6400000001,8.935377945377313,A
POST,POSTAGE,125682.42,5363,1955347.06,9.549162515094773,A
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,117760.29000000001,35084,2073107.35,10.124258450767025,A
23166,MEDIUM CERAMIC TOP STORAGE JAR,81700.92000000001,78033,2154808.27,10.52325430100384,A
79321,CHILLI LIGHTS,80540.88,15841,2235349.15,10.916584962328354,A
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,71300.4,31409,2306649.55,11.264788675581828,A
85099F,JUMBO BAG STRAWBERRY,67985.77,36860,2374635.32,11.596805011568675,A
23084,RABBIT NIGHT LIGHT,66870.03,30739,2441505.3499999996,11.923372502794127,A
21137,BLACK RECORD COVER FRAME,65189.29,18739,2506694.6399999997,12.241731906701505,A
21931,JUMBO STORAGE BAG SUKI,61537.55,29182,2568232.1899999995,12.542257617840871,A
21621,VINTAGE UNION JACK BUNTING,60286.04,6900,2628518.2299999995,12.836671435790665,A
22114,HOT WATER BOTTLE TEA AND SYMPATHY,59189.14,11677,2687707.3699999996,13.125728416288386,A
85099C,JUMBO  BAG BAROQUE BLACK WHITE,59057.61,30640,2746764.9799999995,13.414143054886141,A
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,58652.700000000004,18634,2805417.6799999997,13.700580268875715,A
22112,CHOCOLATE HOT WATER BOTTLE,57981.94,11065,2863399.6199999996,13.983741749170916,A
15056N,EDWARDIAN PARASOL NATURAL,57975.450000000004,11286,2921375.07,14.266871534803832,A
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,57318.71,27281,2978693.78,14.546794055026707,A
82484,WOOD BLACK BOARD ANT WHITE FINISH,56745.73,9831,3035439.51,14.823918361444049,A
22470,HEART OF WICKER LARGE,53506.130000000005,17773,3088945.6399999997,15.085221708239061,A
22178,VICTORIAN GLASS HANGING T-LIGHT,52382.82,40081,3141328.4599999995,15.341039241306031,A
21733,RED HANGING HEART T-LIGHT HOLDER,50346.490000000005,17575,3191674.9499999997,15.586912122345675,A
22386,JUMBO BAG PINK POLKADOT,50081.96,25235,3241756.9099999997,15.831493140671126,A
22111,SCOTTIE DOG HOT WATER BOTTLE,49771.94,9776,3291528.8499999996,16.07456014062946,A
21929,JUMBO BAG PINK VINTAGE PAISLEY,49651.99,25608,3341180.84,16.317041350951204,A
22189,CREAM HEART CARD HOLDER,49300.94,16186,3390481.78,16.557808168176443,A
22469,HEART OF WICKER SMALL,48935.11,27908,3439416.8899999997,16.79678841247335,A
