CustomerID,Recency,Frequency,Monetary,Cluster,ClusterName
12346,326,12,77556.46,4,Loyal Premium Customers
12347,2,8,4921.53,0,Regular Customers
12348,75,5,2019.3999999999999,0,Regular Customers
12349,19,4,4428.6900000000005,0,Regular Customers
12350,310,1,334.40000000000003,1,Dormant Customers
12351,375,1,300.93,1,Dormant Customers
12352,36,10,2849.84,0,Regular Customers
12353,204,2,406.76,0,Regular Customers
12354,232,1,1079.4,0,Regular Customers
12355,214,2,947.61,0,Regular Customers
12356,23,6,6371.7300000000005,0,Regular Customers
12357,33,3,18287.66,0,Regular Customers
12358,2,5,3887.07,0,Regular Customers
12359,58,10,8873.39,0,Regular Customers
12360,52,8,4252.89,0,Regular Customers
12361,287,4,511.25,1,Dormant Customers
12362,3,11,5356.2300000000005,0,Regular Customers
12363,110,2,552.0,0,Regular Customers
12364,8,4,1313.1,0,Regular Customers
12365,291,2,641.38,1,Dormant Customers
12366,634,1,500.24,1,Dormant Customers
12367,4,1,168.9,0,Regular Customers
12368,628,1,917.7,1,Dormant Customers
12369,413,3,1791.15,1,Dormant Customers
12370,51,7,4316.56,0,Regular Customers
12371,45,5,4067.38,0,Regular Customers
12372,72,3,1298.04,0,Regular Customers
12373,311,3,1127.65,1,Dormant Customers
12374,25,4,2989.2200000000003,0,Regular Customers
12375,11,2,457.5,0,Regular Customers
12376,390,2,503.15,1,Dormant Customers
12377,315,4,3426.32,1,Dormant Customers
12378,130,2,5416.32,0,Regular Customers
12379,82,4,1620.22,0,Regular Customers
12380,22,11,9676.300000000001,0,Regular Customers
12381,5,5,1845.31,0,Regular Customers
12383,185,5,1850.56,0,Regular Customers
12384,29,2,585.27,0,Regular Customers
12385,379,1,1938.4,1,Dormant Customers
12386,338,2,401.9,1,Dormant Customers
12387,415,1,143.94,1,Dormant Customers
12388,16,8,3901.11,0,Regular Customers
12389,403,3,1433.33,1,Dormant Customers
12390,80,1,549.84,0,Regular Customers
12391,22,6,2724.84,0,Regular Customers
12392,591,1,234.75000000000003,1,Dormant Customers
12393,72,6,2399.45,0,Regular Customers
12394,64,2,1272.48,0,Regular Customers
12395,19,15,4721.17,0,Regular Customers
12396,674,1,931.4300000000001,1,Dormant Customers
12397,36,2,2409.9,0,Regular Customers
12398,46,1,1635.6599999999999,0,Regular Customers
12399,119,7,1962.3,0,Regular Customers
12400,414,1,205.25,1,Dormant Customers
12401,303,1,84.3,1,Dormant Customers
12402,323,6,1256.9,1,Dormant Customers
12403,50,2,1019.36,0,Regular Customers
12404,682,1,63.24,1,Dormant Customers
12405,149,1,1710.39,0,Regular Customers
12406,22,5,6390.36,0,Regular Customers
12407,50,5,1708.12,0,Regular Customers
12408,33,8,4340.77,0,Regular Customers
12409,79,7,23419.29,0,Regular Customers
12410,309,3,1013.71,1,Dormant Customers
12411,410,1,346.9,1,Dormant Customers
12412,75,6,2596.93,0,Regular Customers
12413,67,4,999.45,0,Regular Customers
12414,217,6,952.4100000000001,0,Regular Customers
12415,24,28,144458.37,3,High-Value Loyal Customers
12416,657,1,202.56,1,Dormant Customers
12417,3,20,6797.41,4,Loyal Premium Customers
12418,113,4,2021.2,0,Regular Customers
12419,386,2,503.01,1,Dormant Customers
12420,64,1,600.39,0,Regular Customers
12421,16,6,1098.6,0,Regular Customers
12422,96,17,5231.8,0,Regular Customers
12423,1,10,2622.39,0,Regular Customers
12424,163,4,3340.0299999999997,0,Regular Customers
12425,78,2,1741.41,0,Regular Customers
12426,195,2,1345.21,0,Regular Customers
12427,22,3,825.8000000000001,0,Regular Customers
12428,26,9,7956.46,0,Regular Customers
12429,9,8,6204.41,0,Regular Customers
12430,43,1,256.4,0,Regular Customers
12431,36,27,10432.220000000001,4,Loyal Premium Customers
12432,43,5,5059.32,0,Regular Customers
12433,1,10,16794.14,0,Regular Customers
12434,85,3,1103.43,0,Regular Customers
12435,80,6,13925.93,0,Regular Customers
12436,100,1,509.01,0,Regular Customers
12437,2,39,12683.4,4,Loyal Premium Customers
12438,14,2,2906.85,0,Regular Customers
12439,683,2,1142.88,1,Dormant Customers
12440,462,2,859.2,1,Dormant Customers
12441,367,1,173.55,1,Dormant Customers
12442,3,1,172.06,0,Regular Customers
12443,732,1,485.31,1,Dormant Customers
12444,21,5,5005.46,0,Regular Customers
12445,22,2,434.98,0,Regular Customers
12446,58,1,1002.3100000000001,0,Regular Customers
12447,243,1,476.49,0,Regular Customers
12448,44,1,449.45,0,Regular Customers
12449,22,6,4835.89,0,Regular Customers
12450,156,5,688.2,0,Regular Customers
12451,11,8,12669.88,0,Regular Customers
12452,17,2,430.57000000000005,0,Regular Customers
12453,134,1,707.09,0,Regular Customers
12454,56,5,16679.78,0,Regular Customers
12455,73,10,5879.95,0,Regular Customers
12456,44,3,3181.04,0,Regular Customers
12457,66,8,2995.91,0,Regular Customers
12458,71,4,1777.49,0,Regular Customers
12459,605,1,454.36,1,Dormant Customers
12460,456,1,326.65,1,Dormant Customers
12461,94,2,826.88,0,Regular Customers
12462,19,2,1189.59,0,Regular Customers
12463,53,4,1344.78,0,Regular Customers
12464,10,8,1212.05,0,Regular Customers
12465,17,2,742.19,0,Regular Customers
12466,682,1,56.73,1,Dormant Customers
12467,423,1,132.8,1,Dormant Customers
12468,188,5,3670.7400000000002,0,Regular Customers
12469,523,2,3070.54,1,Dormant Customers
12470,690,1,211.95,1,Dormant Customers
12471,2,79,39918.19,4,Loyal Premium Customers
12472,32,19,16249.29,4,Loyal Premium Customers
12473,29,5,3928.05,0,Regular Customers
12474,17,31,12372.75,4,Loyal Premium Customers
12475,54,2,1149.64,0,Regular Customers
12476,16,23,14083.91,4,Loyal Premium Customers
12477,23,9,20276.37,0,Regular Customers
12478,4,1,680.99,0,Regular Customers
12479,11,1,527.2,0,Regular Customers
12480,28,7,5464.85,0,Regular Customers
12481,23,15,12185.51,0,Regular Customers
12482,576,29,23691.4,1,Dormant Customers
12483,17,19,5097.18,4,Loyal Premium Customers
12484,33,12,6354.1,0,Regular Customers
12485,529,1,708.1,1,Dormant Customers
12486,432,1,1037.28,1,Dormant Customers
12487,731,1,285.3,1,Dormant Customers
12488,10,3,1298.66,0,Regular Customers
12489,336,1,334.93,1,Dormant Customers
12490,5,21,9823.64,4,Loyal Premium Customers
12491,39,1,460.40000000000003,0,Regular Customers
12492,63,3,715.21,0,Regular Customers
12493,166,2,433.74,0,Regular Customers
12494,16,9,1815.27,0,Regular Customers
12495,641,1,357.4,1,Dormant Customers
12496,620,2,45.34,1,Dormant Customers
12497,82,3,6248.5,0,Regular Customers
12498,21,3,403.70000000000005,0,Regular Customers
12499,560,1,393.72,1,Dormant Customers
12500,23,19,5955.21,4,Loyal Premium Customers
12501,337,1,2169.39,1,Dormant Customers
12502,96,5,3723.87,0,Regular Customers
12503,584,1,1126.0,1,Dormant Customers
12504,18,4,779.05,0,Regular Customers
12505,409,1,955.2,1,Dormant Customers
12506,233,1,73.5,0,Regular Customers
12507,134,4,1844.06,0,Regular Customers
12508,26,2,397.88,0,Regular Customers
12509,284,1,176.5,1,Dormant Customers
12510,143,9,5178.02,0,Regular Customers
12511,429,1,3084.02,1,Dormant Customers
12512,66,2,132.18,0,Regular Customers
12513,113,1,612.29,0,Regular Customers
12514,267,2,1597.76,0,Regular Customers
12515,353,1,383.7,1,Dormant Customers
12516,78,4,2648.62,0,Regular Customers
12517,28,5,2481.6,0,Regular Customers
12518,1,5,2056.89,0,Regular Customers
12519,64,2,716.54,0,Regular Customers
12520,79,5,2634.26,0,Regular Customers
12521,143,1,599.68,0,Regular Customers
12522,39,2,192.72,0,Regular Customers
12523,19,23,4352.35,4,Loyal Premium Customers
12524,9,17,11126.11,4,Loyal Premium Customers
12525,498,3,973.73,1,Dormant Customers
12526,1,3,1316.66,0,Regular Customers
12527,82,5,735.51,0,Regular Customers
12528,9,6,1933.48,0,Regular Customers
12529,528,1,316.48,1,Dormant Customers
12530,60,9,3759.26,0,Regular Customers
12531,15,2,1933.2,0,Regular Customers
12532,30,1,349.83000000000004,0,Regular Customers
12533,628,2,1367.89,1,Dormant Customers
12534,131,1,1089.18,0,Regular Customers
12535,92,2,716.35,0,Regular Customers
12536,43,3,12601.830000000002,0,Regular Customers
12537,409,1,732.94,1,Dormant Customers
12538,29,2,640.45,0,Regular Customers
12539,22,7,11214.75,0,Regular Customers
12540,20,33,22254.49,4,Loyal Premium Customers
12541,30,3,981.18,0,Regular Customers
12542,484,2,481.88,1,Dormant Customers
12543,448,1,980.25,1,Dormant Customers
12544,36,1,372.7,0,Regular Customers
12545,75,2,1000.39,0,Regular Customers
12546,47,2,1161.5,0,Regular Customers
12547,198,3,383.58,0,Regular Customers
12548,166,1,95.19999999999999,0,Regular Customers
12549,576,6,1575.68,1,Dormant Customers
12550,79,1,964.83,0,Regular Customers
12551,358,1,168.0,1,Dormant Customers
12552,39,2,437.82,0,Regular Customers
12553,8,12,4608.75,0,Regular Customers
12554,449,1,468.5,1,Dormant Customers
12555,682,1,129.23,1,Dormant Customers
12556,50,2,599.56,0,Regular Customers
12557,16,8,18096.14,0,Regular Customers
12558,8,1,269.96,0,Regular Customers
12559,311,2,561.71,1,Dormant Customers
12560,5,3,2134.01,0,Regular Customers
12561,303,1,238.85,1,Dormant Customers
12562,8,9,4966.92,0,Regular Customers
12563,409,1,249.24,1,Dormant Customers
12564,261,1,456.90000000000003,0,Regular Customers
12565,289,1,145.92000000000002,1,Dormant Customers
12566,86,1,351.65,0,Regular Customers
12567,23,15,11767.48,0,Regular Customers
12568,645,1,70.0,1,Dormant Customers
12569,2,32,4124.6900000000005,4,Loyal Premium Customers
12570,682,1,77.52,1,Dormant Customers
12571,40,2,519.61,0,Regular Customers
12572,9,2,1020.4200000000001,0,Regular Customers
12573,227,5,717.41,0,Regular Customers
12574,316,1,218.45000000000002,1,Dormant Customers
12575,457,2,622.82,1,Dormant Customers
12576,36,8,2142.7200000000003,0,Regular Customers
12577,35,8,1617.1,0,Regular Customers
12578,21,4,4642.45,0,Regular Customers
12579,78,1,440.42,0,Regular Customers
12580,247,2,1052.9,0,Regular Customers
12581,40,1,197.71,0,Regular Customers
12582,239,4,1980.4,0,Regular Customers
12583,3,27,13591.58,4,Loyal Premium Customers
12584,4,9,2338.15,0,Regular Customers
12585,234,2,2040.1,0,Regular Customers
12586,17,4,2062.67,0,Regular Customers
12587,8,1,144.0,0,Regular Customers
12588,39,4,958.78,0,Regular Customers
12589,29,8,4695.66,0,Regular Customers
12590,211,2,9864.26,0,Regular Customers
12591,317,3,1338.95,1,Dormant Customers
12592,92,5,2582.66,0,Regular Customers
12593,109,3,418.1,0,Regular Customers
12594,38,15,5090.110000000001,0,Regular Customers
12595,505,1,299.02,1,Dormant Customers
12596,51,2,618.27,0,Regular Customers
12597,19,4,3811.22,0,Regular Customers
12598,10,11,4534.09,0,Regular Customers
12599,29,13,2296.72,0,Regular Customers
12600,29,21,4967.42,4,Loyal Premium Customers
12601,190,6,681.26,0,Regular Customers
12602,59,1,153.12,0,Regular Customers
12603,22,1,739.1999999999999,0,Regular Customers
12604,79,2,254.18,0,Regular Customers
12605,376,4,1232.95,1,Dormant Customers
12606,682,1,21.0,1,Dormant Customers
12607,60,1,1579.51,0,Regular Customers
12608,405,1,415.79,1,Dormant Customers
12609,78,9,3435.86,0,Regular Customers
12610,23,5,2099.54,0,Regular Customers
12611,52,1,1193.32,0,Regular Customers
12612,74,1,704.04,0,Regular Customers
12613,57,10,6817.37,0,Regular Customers
12614,278,1,315.6,1,Dormant Customers
12615,2,8,5740.9800000000005,0,Regular Customers
12616,95,3,1131.1,0,Regular Customers
12617,29,1,352.98,0,Regular Customers
12618,22,1,177.31,0,Regular Customers
12619,16,10,3781.38,0,Regular Customers
12620,15,3,1339.41,0,Regular Customers
12621,2,35,24311.2,4,Loyal Premium Customers
12622,232,1,180.1,0,Regular Customers
12623,276,7,3747.84,0,Regular Customers
12624,106,2,641.13,0,Regular Customers
12625,212,4,5164.88,0,Regular Customers
12626,23,9,6620.4800000000005,0,Regular Customers
12627,11,7,4478.53,0,Regular Customers
12628,4,3,786.46,0,Regular Customers
12629,386,2,1558.22,1,Dormant Customers
12630,10,2,1270.88,0,Regular Customers
12631,57,6,3481.57,0,Regular Customers
12632,521,2,804.88,1,Dormant Customers
12633,59,7,5678.16,0,Regular Customers
12634,536,2,490.0,1,Dormant Customers
12635,90,4,2930.41,0,Regular Customers
12636,739,1,141.0,1,Dormant Customers
12637,67,12,8283.81,0,Regular Customers
12638,33,2,921.49,0,Regular Customers
12639,239,3,1312.3700000000001,0,Regular Customers
12640,24,3,1174.58,0,Regular Customers
12641,115,1,185.9,0,Regular Customers
12642,25,3,1013.26,0,Regular Customers
12643,128,12,8304.82,0,Regular Customers
12644,130,4,1918.49,0,Regular Customers
12645,34,8,3539.3,0,Regular Customers
12646,5,2,1346.97,0,Regular Customers
12647,22,36,16955.55,4,Loyal Premium Customers
12648,155,4,1112.0,0,Regular Customers
12649,107,8,2294.65,0,Regular Customers
12650,3,1,314.44,0,Regular Customers
12651,335,4,377.75,1,Dormant Customers
12652,331,2,1017.0300000000001,1,Dormant Customers
12653,149,3,4160.83,0,Regular Customers
12654,11,5,601.98,0,Regular Customers
12655,424,1,261.35,1,Dormant Customers
12656,17,8,6407.83,0,Regular Customers
12657,11,4,1643.18,0,Regular Customers
12658,19,1,686.05,0,Regular Customers
12659,30,1,91.68,0,Regular Customers
12660,11,1,245.10000000000002,0,Regular Customers
12661,436,1,162.0,1,Dormant Customers
12662,1,20,6726.54,4,Loyal Premium Customers
12663,625,2,239.4,1,Dormant Customers
12664,8,11,6070.04,0,Regular Customers
12665,325,3,313.6,1,Dormant Customers
12666,394,1,1248.42,1,Dormant Customers
12667,58,1,620.13,0,Regular Customers
12668,12,10,11383.03,0,Regular Customers
12669,151,3,2744.0299999999997,0,Regular Customers
12670,10,7,3760.29,0,Regular Customers
12671,606,1,2622.481,1,Dormant Customers
12672,330,2,437.05,1,Dormant Customers
12673,5,3,1230.02,0,Regular Customers
12674,39,4,1970.6,0,Regular Customers
12675,554,2,957.25,1,Dormant Customers
12676,25,11,2843.09,0,Regular Customers
12677,555,2,395.1,1,Dormant Customers
12678,42,21,34281.18,4,Loyal Premium Customers
12679,59,4,1113.02,0,Regular Customers
12680,1,4,880.81,0,Regular Customers
12681,15,45,29834.760000000002,4,Loyal Premium Customers
12682,4,52,22950.22,4,Loyal Premium Customers
12683,4,21,11633.7,4,Loyal Premium Customers
12684,8,7,2283.63,0,Regular Customers
12685,28,6,2863.08,0,Regular Customers
12686,372,1,89.14,1,Dormant Customers
12687,481,2,2138.91,1,Dormant Customers
12688,114,1,4873.81,0,Regular Customers
12689,26,2,1247.6100000000001,0,Regular Customers
12690,206,1,389.01,0,Regular Customers
12691,28,7,1170.4,0,Regular Customers
12692,637,1,110.95,1,Dormant Customers
12693,127,7,1703.02,0,Regular Customers
12694,70,3,1843.35,0,Regular Customers
12695,7,7,1407.1200000000001,0,Regular Customers
12696,435,2,851.91,1,Dormant Customers
12697,29,3,957.59,0,Regular Customers
12698,590,1,339.75,1,Dormant Customers
12699,418,1,638.11,1,Dormant Customers
12700,8,4,4939.99,0,Regular Customers
12701,80,6,2446.41,0,Regular Customers
12702,20,1,219.0,0,Regular Customers
12703,71,4,1006.53,0,Regular Customers
12704,7,8,2340.84,0,Regular Customers
12705,15,14,11762.1,0,Regular Customers
12707,292,1,603.42,1,Dormant Customers
12708,30,18,5117.66,0,Regular Customers
12709,15,34,30291.76,4,Loyal Premium Customers
12710,97,3,1149.02,0,Regular Customers
12711,612,2,1339.05,1,Dormant Customers
12712,29,21,6723.03,4,Loyal Premium Customers
12713,1,1,848.55,0,Regular Customers
12714,9,12,14093.710000000001,0,Regular Customers
12715,106,1,343.36,0,Regular Customers
12716,4,2,1053.49,0,Regular Customers
12717,151,3,1308.91,0,Regular Customers
12718,71,1,238.25,0,Regular Customers
12719,5,2,644.95,0,Regular Customers
12720,3,30,7787.28,4,Loyal Premium Customers
12721,32,8,4013.08,0,Regular Customers
12722,85,4,997.63,0,Regular Customers
12723,4,5,725.07,0,Regular Customers
12724,5,7,2317.52,0,Regular Customers
12725,371,4,2266.76,1,Dormant Customers
12726,28,11,4014.6,0,Regular Customers
12727,11,10,5679.53,0,Regular Customers
12728,71,5,1070.17,0,Regular Customers
12729,114,1,453.01,0,Regular Customers
12730,522,1,829.25,1,Dormant Customers
12731,24,17,25775.71,4,Loyal Premium Customers
12732,180,1,236.26000000000002,0,Regular Customers
12733,234,4,2424.87,0,Regular Customers
12734,353,3,639.65,1,Dormant Customers
12735,315,2,779.5699999999999,1,Dormant Customers
12736,333,1,234.0,1,Dormant Customers
12737,499,2,3710.5,1,Dormant Customers
12738,372,1,155.35,1,Dormant Customers
12739,78,4,2726.73,0,Regular Customers
12740,64,1,427.6,0,Regular Customers
12741,529,2,406.07,1,Dormant Customers
12742,626,1,1201.52,1,Dormant Customers
12743,134,2,540.13,0,Regular Customers
12744,52,11,25317.06,4,Loyal Premium Customers
12745,487,3,925.41,1,Dormant Customers
12746,541,1,254.55,1,Dormant Customers
12747,2,26,8898.48,4,Loyal Premium Customers
12748,1,336,53539.64,3,High-Value Loyal Customers
12749,4,9,6897.36,0,Regular Customers
12750,129,1,275.88,0,Regular Customers
12751,445,1,268.27,1,Dormant Customers
12752,81,1,4366.78,0,Regular Customers
