Month,Trend,ForecastRevenue,LowerBound,UpperBound
2009-12-31,870846.918448143,855807.1783218374,818381.3334398258,888394.6279467181
2010-01-31,867611.2149487173,626142.585828325,588367.5937897243,659885.1101228094
2010-02-28,864688.6443265082,520559.25701520155,484851.92342370196,556600.0798033768
2010-03-31,861452.941452546,805770.9807807384,769827.9675734473,841595.3030172437
2010-04-30,858321.6156901416,664391.7173032617,629981.5755802977,702884.5384954148
2010-05-31,855085.912666833,657388.967029308,621011.9691926233,693123.7717468734
2010-06-30,851954.5876270267,762348.1077994768,725845.440111278,798318.3897094207
2010-07-31,848722.2489842011,670865.5736678079,636359.5151231968,706182.2546196841
2010-08-31,845498.1069696764,722598.4838045238,689295.971898539,755238.8526829318
2010-09-30,842379.7321881733,946881.372384875,914638.8663396602,983538.9922550834
2010-10-31,844469.1024334225,1177981.7810940237,1144215.1649776718,1212077.374155002
2010-11-30,846500.4335887398,1467147.955057947,1434605.2888365637,1503876.7426532463
2010-12-31,848612.2766071295,744115.8855168045,709129.4238112448,780222.245283539
2011-01-31,850724.1200781089,714661.5405897121,677674.9762850762,751346.072252905
2011-02-28,852637.613422621,553920.5660134575,519036.421446461,585581.2536365405
2011-03-31,854760.9003982678,741409.856806998,705693.2526781837,775056.9827636662
2011-04-30,856815.6977279916,551562.844190836,515819.2105348388,583958.9913080224
2011-05-31,858938.9883740282,769725.6453879151,735340.0945405017,803837.3073686381
2011-06-30,860993.7861973345,747821.8411811341,711374.6468417956,784679.8013914025
2011-07-31,863117.077584564,696075.4372642235,660665.3138397029,728059.7716418827
2011-08-31,865240.3687868005,730520.8170771636,694703.7456938123,764000.0858666995
2011-09-30,867295.1667244488,1031183.4344929098,998160.9847468977,1065113.4688863398
2011-10-31,869418.4579266855,1135095.0400689512,1099180.9296835298,1167960.4300798161
2011-11-30,871473.2558643337,1500883.3827199703,1467054.2423738684,1533338.9722254507
2011-12-31,873596.5470665703,681722.0619191714,646416.215233935,715728.3235631884
2012-01-31,875719.8382688069,847049.666078785,812198.8531534653,880617.9282692281
2012-02-29,877706.1429418669,435476.43561672437,401524.6102241342,471433.3976014
2012-03-31,879829.4341441034,932031.149981971,896504.2203937436,967736.0604468283
2012-04-30,881884.2320817518,916604.7170273071,881043.3875039476,953416.9576382597
2012-05-31,884007.5232839884,474487.95943817473,438576.40953487955,510172.98702917725
2012-06-30,886062.3212216366,841359.2063812925,806927.1063558651,877495.168474199
