InvoiceMonth,Revenue
2009-12-31,822483.95
2010-01-31,651155.112
2010-02-28,551878.296
2010-03-31,830915.261
2010-04-30,678875.252
2010-05-31,657705.5
2010-06-30,749537.31
2010-07-31,648810.27
2010-08-31,695251.91
2010-09-30,921696.991
2010-10-31,1161902.22
2010-11-30,1464293.142
2010-12-31,821452.73
2011-01-31,689811.61
2011-02-28,522545.56
2011-03-31,716215.26
2011-04-30,536968.491
2011-05-31,769296.61
2011-06-30,760547.01
2011-07-31,718076.121
2011-08-31,757841.38
2011-09-30,1056435.192
2011-10-31,1151263.73
2011-11-30,1503866.78
2011-12-31,637808.33
